-3.11,-0.982,4.995
-3.256,-0.978,4.999
-3.403,-0.974,4.996
-3.552,-0.968,4.997
-3.704,-0.963,5.016
-3.857,-0.956,4.997
-4.013,-0.95,4.999
-4.171,-0.942,4.997
-4.33,-0.933,4.998
-4.492,-0.924,4.998
-4.655,-0.914,4.998
-4.821,-0.904,4.995
-4.987,-0.893,4.998
-5.157,-0.882,4.998
-5.329,-0.869,4.999
-5.502,-0.856,4.998
-5.678,-0.844,4.998
-5.856,-0.831,5.001
-6.035,-0.817,4.998
-6.217,-0.802,4.998
-6.4,-0.788,5.001
-6.586,-0.772,4.999
-6.774,-0.756,4.999
-6.964,-0.739,4.997
-7.154,-0.722,4.998
-7.347,-0.706,4.996
-7.542,-0.687,4.995
-7.739,-0.669,4.998
-7.937,-0.651,4.998
-8.137,-0.631,4.999
-8.338,-0.611,4.994
-8.541,-0.59,5
-8.746,-0.568,4.998
-8.951,-0.546,5.01
-9.157,-0.524,4.997
-9.364,-0.501,4.996
-9.573,-0.477,4.997
-9.781,-0.452,4.996
-9.992,-0.427,4.997
-10.202,-0.401,4.997
-10.413,-0.374,4.997
-10.625,-0.346,4.999
-10.836,-0.318,5.003
-11.048,-0.289,4.997
-11.259,-0.259,4.992
-11.472,-0.229,4.998
-11.683,-0.196,4.998
-11.895,-0.164,4.998
-12.107,-0.13,4.996
-12.317,-0.096,4.998
-12.527,-0.061,4.995
-12.737,-0.025,5.009
-12.946,0.012,4.997
-13.154,0.05,4.994
-13.36,0.089,4.998
-13.565,0.129,4.997
-13.769,0.17,4.996
-13.97,0.212,4.999
-14.171,0.256,5.001
-14.368,0.301,4.995
-14.564,0.346,4.993
-14.757,0.393,4.998
-14.948,0.442,4.997
-15.135,0.492,4.998
-15.32,0.544,4.994
-15.5,0.597,4.998
-15.678,0.652,4.996
-15.852,0.709,4.997
-16.023,0.768,5.001
-16.189,0.829,4.993
-16.351,0.892,4.998
-16.508,0.956,4.999
-16.661,1.023,4.998
-16.81,1.092,4.996
-16.955,1.164,4.997
-17.094,1.237,4.997
-17.229,1.313,5
-17.358,1.391,4.997
-17.484,1.472,4.998
-17.604,1.554,4.999
-17.719,1.64,4.991
-17.828,1.727,4.998
-17.933,1.817,4.997
-18.031,1.91,4.997
-18.124,2.004,4.998
-18.211,2.102,4.999
-18.293,2.201,4.997
-18.368,2.304,4.999
-18.438,2.408,4.997
-18.501,2.515,4.995
-18.558,2.625,4.998
-18.609,2.737,4.998
-18.653,2.851,4.997
-18.69,2.968,4.998
-18.721,3.087,4.998
-18.743,3.21,4.997
-18.76,3.334,4.999
-18.769,3.46,4.999
-18.771,3.59,4.975
-18.766,3.722,4.997
-18.752,3.857,4.995
-18.732,3.994,4.999
-18.704,4.135,4.997
-18.669,4.278,4.996
-18.626,4.424,4.993
-18.575,4.572,4.997
-18.518,4.724,4.987
-18.453,4.878,5.002
-18.38,5.034,4.998
-18.301,5.193,4.997
-18.215,5.354,4.999
-18.121,5.519,5.002
-18.02,5.685,4.998
-17.912,5.854,4.996
-17.798,6.025,4.994
-17.677,6.198,4.997
-17.548,6.374,4.995
-17.413,6.552,4.997
-17.272,6.732,4.999
-17.123,6.916,4.998
-16.969,7.1,4.992
-16.808,7.286,4.997
-16.641,7.474,4.998
-16.468,7.664,4.998
-16.289,7.856,4.999
-16.105,8.05,5.001
-15.915,8.245,4.998
-15.718,8.441,4.997
-15.517,8.638,4.997
-15.31,8.837,5.007
-15.098,9.036,4.997
-14.881,9.237,4.997
-14.658,9.438,4.999
-14.432,9.642,5
-14.201,9.845,4.997
-13.965,10.049,4.997
-13.725,10.254,5.015
-13.482,10.459,4.998
-13.234,10.665,5
-12.983,10.872,4.997
-12.729,11.078,4.997
-12.47,11.286,4.997
-12.209,11.493,4.995
-11.945,11.703,4.996
-11.678,11.911,5.001
-11.409,12.121,5.006
-11.136,12.33,4.998
-10.863,12.541,4.999
-10.585,12.752,4.997
-10.307,12.963,4.997
-10.027,13.175,4.998
-9.746,13.387,4.997
-9.463,13.6,4.998
-9.179,13.813,4.997
-8.895,14.028,4.994
-8.61,14.242,4.998
-8.325,14.456,4.998
-8.039,14.671,4.998
-7.754,14.887,5.003
-7.47,15.103,4.995
-7.187,15.319,4.997
-6.904,15.534,4.998
-6.622,15.751,4.998
-6.343,15.968,4.997
-6.065,16.186,4.998
-5.789,16.402,4.994
-5.516,16.619,4.997
-5.246,16.836,4.995
-4.978,17.052,4.997
-4.713,17.268,4.998
-4.452,17.485,4.997
-4.195,17.701,4.999
-3.94,17.916,4.998
-3.689,18.131,4.998
-3.442,18.346,5.002
-3.199,18.561,4.998
-2.961,18.776,4.996
-2.727,18.99,4.996
-2.496,19.204,4.997
-2.27,19.419,4.998
-2.049,19.633,4.996
-1.832,19.847,4.996
-1.62,20.063,4.998
-1.414,20.278,4.992
-1.213,20.492,4.997
-1.016,20.708,4.997
-0.825,20.924,4.998
-0.638,21.142,5.004
-0.458,21.359,4.996
-0.284,21.577,4.998
-0.113,21.796,4.997
0.051,22.017,4.998
0.208,22.238,5.006
0.36,22.461,4.996
0.507,22.684,4.997
0.647,22.909,4.997
0.782,23.135,5.001
0.909,23.362,4.998
1.032,23.59,4.995
1.148,23.821,4.997
1.257,24.052,4.994
1.36,24.285,4.995
1.456,24.52,4.996
1.547,24.756,4.999
1.631,24.993,4.996
1.708,25.233,4.994
1.779,25.474,4.998
1.843,25.717,4.998
1.901,25.962,4.996
1.953,26.209,4.998
1.998,26.458,4.998
2.037,26.709,4.999
2.07,26.961,5.002
2.096,27.216,4.998
2.116,27.473,4.999
2.13,27.731,4.997
2.137,27.992,4.995
2.137,28.255,4.999
2.131,28.519,4.998
2.119,28.786,4.997
2.101,29.053,4.997
2.075,29.324,5.003
2.044,29.596,4.998
2.006,29.87,4.991
1.963,30.145,4.998
1.913,30.423,4.997
1.858,30.704,4.996
1.795,30.986,4.997
1.727,31.27,4.996
1.653,31.556,4.998
1.574,31.844,4.996
1.489,32.136,4.997
1.398,32.429,4.997
1.301,32.725,4.997
1.2,33.024,4.996
1.093,33.324,4.997
0.981,33.629,4.999
0.865,33.936,4.997
0.742,34.245,4.997
0.616,34.558,4.996
0.485,34.874,4.997
0.349,35.195,4.999
0.209,35.517,4.997
0.064,35.843,4.997
-0.085,36.174,4.998
-0.239,36.506,4.998
-0.396,36.844,4.996
-0.558,37.183,4.998
-0.724,37.528,4.999
-0.895,37.875,4.997
-1.07,38.227,4.997
-1.248,38.582,4.998
-1.43,38.941,5
-1.617,39.304,4.998
-1.807,39.669,4.997
-2.001,40.039,4.998
-2.2,40.412,4.999
-2.402,40.789,4.999
-2.607,41.169,4.997
-2.817,41.553,4.993
-3.031,41.94,4.998
-3.248,42.331,4.998
-3.469,42.725,4.997
